Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-10-04 00:00:00+05:30,136592.864551613,136775.651878021,132993.05260149727,133401.78125,10223,0.0,0.0
2024-10-07 00:00:00+05:30,135369.9404025754,135492.93398840987,130548.19185872214,131231.0,7958,0.0,0.0
2024-10-08 00:00:00+05:30,131593.13754460373,132576.92999077507,130843.27821154581,132133.3125,5944,0.0,0.0
2024-10-09 00:00:00+05:30,133793.0303720621,133983.02047498207,132443.94439946936,132576.390625,4681,0.0,0.0
2024-10-10 00:00:00+05:30,133593.02137566512,133683.01667449603,131993.10495200445,132207.546875,3208,0.0,0.0
2024-10-11 00:00:00+05:30,132393.0988248415,132411.00414150188,131144.3670417295,132190.703125,3353,0.0,0.0
2024-10-14 00:00:00+05:30,132190.70393313875,132893.07357543442,131244.36263171493,131906.421875,5429,0.0,0.0
2024-10-15 00:00:00+05:30,131907.11779908856,132493.0403538145,130843.1733099651,131020.4140625,6023,0.0,0.0
2024-10-16 00:00:00+05:30,130993.41890315847,131271.24816480777,129523.29244289709,130486.9921875,5437,0.0,0.0
2024-10-17 00:00:00+05:30,130414.19477249026,130943.06561263863,129393.24804717215,129804.9765625,3163,0.0,0.0
2024-10-18 00:00:00+05:30,129793.23146989408,129943.22364801799,128611.29310627762,129437.8984375,3964,0.0,0.0
2024-10-21 00:00:00+05:30,130093.2156603634,131993.11658084526,128044.36938235725,128236.265625,9788,0.0,0.0
2024-10-22 00:00:00+05:30,128983.27152665294,128983.27152665294,126093.42227700548,126400.65625,5713,0.0,0.0
2024-10-23 00:00:00+05:30,126093.42935846138,126748.39522864213,124981.88571773299,125487.4140625,6712,0.0,0.0
2024-10-24 00:00:00+05:30,125593.44680282216,125993.2775030122,123943.53289179782,124124.7265625,5151,0.0,0.0
2024-10-25 00:00:00+05:30,124124.72488565634,124855.78048086386,121868.68638139486,122745.390625,6300,0.0,0.0
2024-10-28 00:00:00+05:30,122893.58808736579,124291.51515120742,122812.88917279204,123084.53125,5059,0.0,0.0
2024-10-29 00:00:00+05:30,123392.5628882205,123393.56283605547,120743.7010733687,122501.4609375,5946,0.0,0.0
2024-10-30 00:00:00+05:30,122193.6296437759,123156.97785876173,121293.72343384949,121982.9921875,6372,0.0,0.0
2024-10-31 00:00:00+05:30,122093.6315136073,122966.33599275144,121496.66265190685,122518.0625,4359,0.0,0.0
2024-11-01 00:00:00+05:30,122493.61359910169,123493.01461872752,122493.61359910169,123323.8671875,927,0.0,0.0
2024-11-04 00:00:00+05:30,123743.54544957467,123823.83813645161,120493.71496302019,120870.4453125,9772,0.0,0.0
2024-11-05 00:00:00+05:30,120794.69934075863,121237.57467785272,117993.84543347753,119523.9140625,9899,0.0,0.0
2024-11-06 00:00:00+05:30,119838.74850303863,121834.4412709161,119838.74850303863,121607.203125,6948,0.0,0.0
2024-11-07 00:00:00+05:30,121893.64191125844,122327.2677304217,120224.8305205539,121019.640625,5330,0.0,0.0
2024-11-08 00:00:00+05:30,120993.68758325234,121243.12769459875,117394.9222110786,119348.0703125,15073,0.0,0.0
2024-11-11 00:00:00+05:30,120094.73180674823,125147.51495809628,120043.73446849006,123039.1796875,23062,0.0,0.0
2024-11-12 00:00:00+05:30,123693.55058643103,124101.23245479347,120710.80766991452,120917.84375,8804,0.0,0.0
2024-11-13 00:00:00+05:30,120893.69704694241,121653.61055284504,119919.04473673184,120477.421875,7941,0.0,0.0
2024-11-14 00:00:00+05:30,120393.71885414356,121894.64054849629,120276.72495791486,120545.4609375,5012,0.0,0.0
2024-11-18 00:00:00+05:30,119081.88936307759,121168.32739390993,119017.93957417549,120854.796875,6728,0.0,0.0
2024-11-19 00:00:00+05:30,120896.68897131388,124191.1456201831,120567.54954803984,122947.234375,9833,3.0,0.0
2024-11-21 00:00:00+05:30,123096.62841420794,124096.55415149267,121747.7122356839,123506.515625,6696,0.0,0.0
2024-11-22 00:00:00+05:30,123658.61931115917,124739.38663918489,122534.75159894994,124593.59375,6464,0.0,0.0
2024-11-25 00:00:00+05:30,125996.55249905224,126196.54702682851,123996.60722128951,124488.9453125,14605,0.0,0.0
2024-11-26 00:00:00+05:30,124696.5871448462,125746.26154101925,123996.65317653128,124169.8046875,4556,0.0,0.0
2024-11-27 00:00:00+05:30,124146.6042586945,125296.52593026457,123106.88269785699,124530.796875,5246,0.0,0.0
2024-11-28 00:00:00+05:30,124544.5929603802,124686.54220221932,123454.66965130242,123658.96875,6135,0.0,0.0
2024-11-29 00:00:00+05:30,122996.63195852637,125428.6669241245,122699.28853824096,125247.8671875,8271,0.0,0.0
2024-12-02 00:00:00+05:30,125096.5774080601,125437.41964525385,124257.60036213393,125355.921875,5110,0.0,0.0
2024-12-03 00:00:00+05:30,125496.56482789364,125893.15553465959,124891.0814015726,125581.609375,5200,0.0,0.0
2024-12-04 00:00:00+05:30,125796.55972927313,127196.5214432714,125321.67427888913,126837.9296875,7926,0.0,0.0
2024-12-05 00:00:00+05:30,126896.52754012076,131206.40960235812,126562.5835533306,130757.921875,13817,0.0,0.0
2024-12-06 00:00:00+05:30,130896.42245990904,132196.3869304811,130412.6388072369,130631.9765625,7588,0.0,0.0
2024-12-09 00:00:00+05:30,131236.41551771227,133168.86273645642,130796.97439524156,132147.796875,7413,0.0,0.0
2024-12-10 00:00:00+05:30,133096.35743715471,133115.65378405494,131643.64719472927,132454.625,6593,0.0,0.0
2024-12-11 00:00:00+05:30,132097.3863907501,132796.36726967708,131847.6432226356,132513.78125,3350,0.0,0.0
2024-12-12 00:00:00+05:30,132596.37071060875,132778.11573607373,131651.99030920293,131868.796875,3243,0.0,0.0
2024-12-13 00:00:00+05:30,131996.39312794476,133496.3521407623,130896.47005893102,133231.609375,5396,0.0,0.0
2024-12-16 00:00:00+05:30,133236.60558678003,133439.14692167853,132296.3813046808,132526.875,2755,0.0,0.0
2024-12-17 00:00:00+05:30,132526.8715191555,132526.91839287215,130660.52418076839,130973.015625,4757,0.0,0.0
2024-12-18 00:00:00+05:30,130996.41357038303,131495.74364968674,130096.43820997581,130407.7265625,3584,0.0,0.0
2024-12-19 00:00:00+05:30,128996.46839391557,130100.39129622119,128884.4714601162,129839.546875,3035,0.0,0.0
